TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Warehouse Distribution Center,"footprint of 286,375 square feet (266,375 square feet of warehouse; and20,000 square feet of office - office is two floors",Rhode Hall Road,MONROE TOWNSHIP,'08831',MIDDLESEX,Planning Schematics,N/A,N/A,N/A,N/A,Amertech Engineering,Dynamic Engineering Consultants PC,N/A,30000000,https://apps.construction.com/projects/201800828622,286375,Warehouse,N/A,1,10/8/2018,"Rhode Hall Road, MONROE TOWNSHIP, MIDDLESEX, NJ '08831'",40.3650998,-74.448781
Industrial/Flex Park (Kingsland Meadowlands) Master Report,"Phased development of the 717 acre former landfill site - Phase 1 is; Building A 932,168 sq ft & Bldg B 344,100 sq ft- Phase 2 is Bldg C; 1183440 SF warehouse/office - Phase 3 Building D - 294716; Warehouse/Office -- overall parking for 1,559 cars, 570 loading docks,; 757 trailer stalls - site capping & dynamic compaction - approx 250-; acres of site will be developed","off Route 3 & 17, in Rutherford",LYNDHURST,'07071',BERGEN,Planning Schematics,N/A,400 HOLLISTER RD,Herrod Construction,N/A,N/A,N/A,N/A,125000000,https://apps.construction.com/projects/201500583876,N/A,Office Warehouse Manufacturing Building Freight Terminal Sidewalk/Parking Lot Site Development,N/A,N/A,7/21/2015,"off Route 3 & 17, in Rutherford, LYNDHURST, BERGEN, NJ '07071'",40.8231437,-74.0979922
Warehouse,"135,276 square foot warehouse building with office space SF to be; determined",271 Adelphia Rd,FARMINGDALE,'077273524',MONMOUTH,Planning Schematics,Roman Leyzerov,271 ADELPHIA RD,Stone Quest LLC,N/A,InSite Engineering LLC,N/A,Patrick Ward,24999999,https://apps.construction.com/projects/202300197512,135276,Warehouse,N/A,1,5/18/2023,"271 Adelphia Rd, FARMINGDALE, MONMOUTH, NJ '077273524'",40.2018876,-74.1998789
Warehouse,N/A,205 Bordentown Hedding Rd,FIELDSBORO,'085054717',BURLINGTON,Planning Schematics,N/A,457 W END AVE,Bordentown Real Estate Associates LLC,Dynamic Engineering Consultants PC,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300197042,101244,Warehouse,N/A,1,5/18/2023,"205 Bordentown Hedding Rd, FIELDSBORO, BURLINGTON, NJ '085054717'",40.1258341,-74.7203099
Rovagnati Meat Processing and Distribution Fac Master Report,"phased 536,554 sf meat processing and distribution facility",2290 W Oak Rd,VINELAND,'08360',CUMBERLAND,Planning Schematics,N/A,444 Madison Ave Ste 1206,ROVAGNATI USA INC,N/A,N/A,N/A,N/A,46500000,https://apps.construction.com/projects/201900634884,536554,Warehouse Warehouse (Refrigerated) Manufacturing Building,N/A,N/A,4/16/2019,"2290 W Oak Rd, VINELAND, CUMBERLAND, NJ '08360'",39.5047445,-75.0676849
Warehouse,N/A,530 NJ-33,MILLSTONE,'08535',MONMOUTH,Planning Schematics,N/A,6 DELAWARE RD,JLE LLC,N/A,MidAtlantic Engineering Partners LLC,N/A,Louis Zuegner IV,49999999,https://apps.construction.com/projects/202200682724,291852,Warehouse,N/A,1,7/7/2022,"530 NJ-33, MILLSTONE, MONMOUTH, NJ '08535'",40.2645112,-74.4107916
Warehouse & Office Building,"Construction of a 436,960 square foot warehouse and office building; consisting of 386,960 square feet of warehouse space and 2 separate; 25,000 square feet offices (Office A & Office B on each end of the; warehouse)",Elizabeth Ave & Grant St,FRANKLIN TOWNSHIP,'08873',SOMERSET,Planning Schematics,David Lizza,3 2ND ST STE 502,"PROLOGIS, INC",N/A,Menlo Engineering Associates Inc,N/A,Greg Oman,49999999,https://apps.construction.com/projects/202200594922,436960,Office Warehouse,N/A,1,4/25/2022,"Elizabeth Ave & Grant St, FRANKLIN TOWNSHIP, SOMERSET, NJ '08873'",40.5378884,-74.5367698
Warehouse Expansion,N/A,1 Technology Dr,SWEDESBORO,'080851760',GLOUCESTER,Planning Schematics,N/A,44201 NOBEL DR,TD Synnex,N/A,Marathon Engineering & Environmental Services,N/A,N/A,49999999,https://apps.construction.com/projects/202300192444,470525,Warehouse,N/A,1,5/16/2023,"1 Technology Dr, SWEDESBORO, GLOUCESTER, NJ '080851760'",39.7621362,-75.37511599999999
Keasbey Warehouse B,"Trailer parking, loading docks and site improvements are proposed.; Access is proposed off Smith Street.",Smith St & Crows Mill Rd,WOODBRIDGE TOWNSHIP,'08832',MIDDLESEX,Planning Schematics,N/A,1649 49th St,Stalwart Equities Inc,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300188116,170500,Warehouse,N/A,1,5/12/2023,"Smith St & Crows Mill Rd, WOODBRIDGE TOWNSHIP, MIDDLESEX, NJ '08832'",40.5172831,-74.3079322
Keasbey Warehouse A,"trailer parking, loading docks and site improvements are proposed.; Access is proposed off Smith Street.",Smith St & Crows Mill Rd,WOODBRIDGE TOWNSHIP,'08832',MIDDLESEX,Planning Schematics,N/A,1649 49th St,Stalwart Equities Inc,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300188090,166622,Warehouse,N/A,1,5/12/2023,"Smith St & Crows Mill Rd, WOODBRIDGE TOWNSHIP, MIDDLESEX, NJ '08832'",40.5172831,-74.3079322
Self-Storage Facility,8-story self-storage facility consisting of 124930 SF,1 Woodbridge Center Dr,WOODBRIDGE TOWNSHIP,'07095',MIDDLESEX,Pre-Design,N/A,1 WOODBRIDGE CTR,1 WBC LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300188047,124930,Warehouse,N/A,1,5/12/2023,"1 Woodbridge Center Dr, WOODBRIDGE TOWNSHIP, MIDDLESEX, NJ '07095'",40.55866959999999,-74.2965584
Warehouse/Distribution Facility,"130 trailer parking spaces, 56 loading docks, 2 drive-in doors, 379 car; parking spaces and related site improvements",2554 US-206,MOUNT HOLLY,'080605418',BURLINGTON,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300187259,371350,Warehouse,N/A,1,5/12/2023,"2554 US-206, MOUNT HOLLY, BURLINGTON, NJ '080605418'",40.0015069,-74.729089
Warehouse/Distribution Facility,"60 trailer parking spaces, 24 loading docks, 2 drive-in doors, 102 car; parking spaces and related site improvements",2554 US-206,MOUNT HOLLY,'080605418',BURLINGTON,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300187268,115500,Warehouse,N/A,1,5/12/2023,"2554 US-206, MOUNT HOLLY, BURLINGTON, NJ '080605418'",40.0015069,-74.729089
Visionstream Self Storage Facility,"two 2-story 74592 SF self-storage buildings and a one-story; 1,200-square-foot office",198 Tennent Rd,MARLBORO,'077511000',MONMOUTH,Planning Schematics,N/A,3996 Highway 56,"Vision Marlboro, LLC",Colliers Engineering,Crest Engineering Associates Inc,N/A,"Lorali Totten, PE",24999999,https://apps.construction.com/projects/202100842263,150384,Office Warehouse,N/A,3,11/17/2021,"198 Tennent Rd, MARLBORO, MONMOUTH, NJ '077511000'",40.3654029,-74.2680429
Warehouse,"construct a new 269,785 SF Warehouse facility",24 Kilmer Rd,EDISON,'088172422',MIDDLESEX,Planning Schematics,N/A,24 KILMER RD,Derock Development LLC,N/A,Dynamic Engineering Consultants LLC,N/A,Joshua M. Sewald,49999999,https://apps.construction.com/projects/202200756387,269785,Warehouse,N/A,1,9/12/2022,"24 Kilmer Rd, EDISON, MIDDLESEX, NJ '088172422'",40.521615,-74.42229929999999
Warehouse,SF is Dodge Estimate,475 Raritan Center Pkwy,EDISON,'08837',MIDDLESEX,Pre-Design,N/A,425 RARITAN CENTER PKWY,"Garden State Building, L.P",N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300174378,50000,Warehouse,N/A,1,5/5/2023,"475 Raritan Center Pkwy, EDISON, MIDDLESEX, NJ '08837'",40.5031869,-74.34473799999999
Logan Industrial Park North Building K,"industiral warehouse bldg, with 67 dock doors, 14 trailer spaces, 122; car spaces",Crossroads Blvd,LOGAN TOWNSHIP,'08014',GLOUCESTER,Planning Schematics,Marshall Everett,1420 US HIGHWAY 206 STE 200,Advance Realty Investors,N/A,Taylor Wiseman & Taylor,N/A,N/A,24999999,https://apps.construction.com/projects/201700868736,202000,Office Warehouse Manufacturing Building Freight Terminal,N/A,1,12/26/2017,"Crossroads Blvd, LOGAN TOWNSHIP, GLOUCESTER, NJ '08014'",39.7894622,-75.3474904
Logan North Industrial Park Building G,"30 dock doors, 17 trailer spaces, 114 car spaces",801 Crossroads Blvd,LOGAN TOWNSHIP,'08085',GLOUCESTER,Planning Schematics,Marshall Everett,1420 US HIGHWAY 206 STE 200,Advance Realty Investors,N/A,Taylor Wiseman & Taylor,N/A,N/A,14999999,https://apps.construction.com/projects/201700868730,145140,Retail (Other) Warehouse Manufacturing Building,N/A,1,12/26/2017,"801 Crossroads Blvd, LOGAN TOWNSHIP, GLOUCESTER, NJ '08085'",39.7854872,-75.34434759999999
Warehouse,N/A,999 Cranbury South River Rd,EAST BRUNSWICK,'08816',MIDDLESEX,Planning Schematics,John Porcek,1 GATEHALL DR STE 201,Bridge Industrial,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202200735223,291758,Warehouse,N/A,1,8/24/2022,"999 Cranbury South River Rd, EAST BRUNSWICK, MIDDLESEX, NJ '08816'",40.366301,-74.46419399999999
600 Atrium Drive Warehouse B,N/A,600 Atrium Dr,FRANKLIN TOWNSHIP,'08873',SOMERSET,Planning Schematics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300165739,115665,Warehouse,N/A,1,5/2/2023,"600 Atrium Dr, FRANKLIN TOWNSHIP, SOMERSET, NJ '08873'",40.536893,-74.5163649
Self-Storage Facility,construct a self storage facility,4256 US-130,WILLINGBORO,'08046',BURLINGTON,Planning Schematics,N/A,41 BAYARD ST FL 2,Weiss Properties,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/201900833447,111900,Warehouse,N/A,1,9/26/2019,"4256 US-130, WILLINGBORO, BURLINGTON, NJ '08046'",40.1123686,-74.76979
Industrial Building,"construction of a 291,200+/- square foot industrial building,; automobile and trailer parking, a loading area and other associated; improvements.",319 Dultys Ln,BURLINGTON,'08016',BURLINGTON,Pre-Design,N/A,1 Underwood Ct,Whitesell Company Inc,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300168138,291200,Warehouse,N/A,1,5/2/2023,"319 Dultys Ln, BURLINGTON, BURLINGTON, NJ '08016'",40.100096,-74.822126
"Seaport Self Storage (Pennsauken, NJ)","This project consists of construction & site work of a new 3 story; 108,015 SF Self Storage facility",4615 N Crescent Blvd,PENNSAUKEN TOWNSHIP,'081102058',CAMDEN,Bid Results,Chananya Bineth,3823 13TH AVE,Pointy Developments,N/A,MG Engineering Associates,N/A,Michael Galante,14999999,https://apps.construction.com/projects/202300142324,108015,Warehouse,N/A,N/A,4/14/2023,"4615 N Crescent Blvd, PENNSAUKEN TOWNSHIP, CAMDEN, NJ '081102058'",39.952765,-75.063743
Warehouses,3 multi-tenant warehouses with office space,463 Monmouth Rd,MILLSTONE,'08510',OCEAN,Pre-Design,N/A,1432 Cedarview Ave,Yosef Rothenberg,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202200518298,N/A,Warehouse,N/A,3,3/1/2022,"463 Monmouth Rd, MILLSTONE, OCEAN, NJ '08510'",40.16827749999999,-74.4125275
Warehouse,N/A,1863 Lakewood Rd,TOMS RIVER,'08753',OCEAN,Planning Schematics,N/A,1985 CEDARBRIDGE AVE STE 5,CT Management LLC / 4th Street Properties LLC,N/A,FWH Associates PA,N/A,Christopher Rosati,24999999,https://apps.construction.com/projects/202100741859,108847,Office Warehouse,N/A,1,8/19/2021,"1863 Lakewood Rd, TOMS RIVER, OCEAN, NJ '08753'",40.019379,-74.2173679
Warehouse/Distribution Facility,N/A,2470 US-206,MOUNT HOLLY,'080604940',BURLINGTON,Planning Schematics,N/A,92 HEADQUARTERS PLZ,Rockefeller Acquisitions LLC,N/A,Colliers Engineering and Design,N/A,N/A,14999999,https://apps.construction.com/projects/202300156303,N/A,Warehouse,N/A,N/A,4/24/2023,"2470 US-206, MOUNT HOLLY, BURLINGTON, NJ '080604940'",39.98699939999999,-74.73393899999999
Self Storage Facility Phase 2,"approximate 13,000 square foot storage building and two open/covered; outdoor storage areas consisting of approximately 13,600 and 11,680; square foot each",823 W White Horse Pike,EGG HARBOR CITY,'08215',ATLANTIC,Pre-Design,N/A,10 CATAMOUNT DR,SAC Cooper Folly LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300156235,143400,Warehouse,N/A,3,4/24/2023,"823 W White Horse Pike, EGG HARBOR CITY, ATLANTIC, NJ '08215'",39.505994,-74.612803
Self Storage Facility Phase 1,"an approximate 15,000 square foot storage building, a 3-story; approximate 86,033 square foot storage building, an approximate 9,900; square foot storage building, an approximate 14,400 square foot; open/covered outdoor storage area",823 W White Horse Pike,EGG HARBOR CITY,'08215',ATLANTIC,Pre-Design,N/A,10 CATAMOUNT DR,SAC Cooper Folly LLC,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300156198,125333,Warehouse,N/A,4,4/24/2023,"823 W White Horse Pike, EGG HARBOR CITY, ATLANTIC, NJ '08215'",39.505994,-74.612803
Self Storage Warehouse,"98,029 sq ft 4 story self-storage building with 8,045 sq ft retail",720 Sloan Ave,TRENTON,'08619',MERCER,Planning Schematics,N/A,290 Miron Dr,East Ridge Development LLC,N/A,Bohler Engineering,Cofone Consulting Group,Tung-To Lam,14999999,https://apps.construction.com/projects/202000798403,106074,Retail (Other) Warehouse,N/A,1,12/3/2020,"720 Sloan Ave, TRENTON, MERCER, NJ '08619'",40.2522572,-74.7038314
Warehouse,N/A,Dunn Mills Rd & Hedding Rd,BORDENTOWN,'08505',BURLINGTON,Planning Schematics,N/A,3715 NORTHSIDE PKWY NW,Bordentown Crossroads One LLC,"INSITE SURVEYING, LLC",N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300151030,172240,Warehouse,N/A,1,4/20/2023,"Dunn Mills Rd & Hedding Rd, BORDENTOWN, BURLINGTON, NJ '08505'",40.1292774,-74.6934924
Warehouse,N/A,638 Gershal Ave,ELMER,'08318',SALEM,Planning Schematics,N/A,1144 E County Line Rd Ste 103,Atlantic Site Cons.,N/A,Colliers Engineering & Design,N/A,N/A,49999999,https://apps.construction.com/projects/202300150945,962500,Warehouse,N/A,1,4/20/2023,"638 Gershal Ave, ELMER, SALEM, NJ '08318'",39.484216,-75.0895585
Warehouse,N/A,1960 Burlington-Mount Holly Rd,WESTAMPTON,'08060',BURLINGTON,Planning Schematics,N/A,180 Park Ave,Transwestern Development,N/A,Dynamic Engineering Consultants LLC,N/A,N/A,49999999,https://apps.construction.com/projects/202300146879,250000,Warehouse,N/A,1,4/18/2023,"1960 Burlington-Mount Holly Rd, WESTAMPTON, BURLINGTON, NJ '08060'",40.0223607,-74.81192870000001
Cancos Tile & Stone Retail/Showroom & Office Building,"105,575 square foot warehouse/showroom building with associated site; improvements. The warehousing, fabrication and distribution uses will; be 88,575 square feet and 5,000 square feet of offices ; retail; showroom to occupy 12,000 square feet in the front of the building",2085 US-130,NORTH BRUNSWICK TOWNSHIP,'08902',MIDDLESEX,Planning Schematics,N/A,1085 PORTION RD,Cancos Tile & Stone,N/A,N/A,N/A,N/A,10000000,https://apps.construction.com/projects/201700649212,105575,Office Retail (Other) Warehouse,N/A,1,5/15/2017,"2085 US-130, NORTH BRUNSWICK TOWNSHIP, MIDDLESEX, NJ '08902'",40.437883,-74.483946
Warehouse,N/A,Harvard Way (aka Route 206),HILLSBOROUGH TOWNSHIP,'08844',SOMERSET,Planning Schematics,N/A,N/A,N/A,N/A,Van Cleef Engineering,N/A,Michael Ford PE,14999999,https://apps.construction.com/projects/202200558025,107366,Warehouse,N/A,1,3/29/2022,"Harvard Way (aka Route 206), HILLSBOROUGH TOWNSHIP, SOMERSET, NJ '08844'",40.5442608,-74.6124622
Warehouse Building,N/A,203 Homestead Rd,HILLSBOROUGH TOWNSHIP,'088441907',SOMERSET,Planning Schematics,Eric Greif,21088 HAMLIN DR,Homestead Road LLC,N/A,Van Cleef Engineering,N/A,Michael Ford PE,24999999,https://apps.construction.com/projects/202200557875,168304,Warehouse,N/A,1,3/29/2022,"203 Homestead Rd, HILLSBOROUGH TOWNSHIP, SOMERSET, NJ '088441907'",40.4868153,-74.641825
Warehouse,N/A,189 Homestead Rd,HILLSBOROUGH TOWNSHIP,'088442004',SOMERSET,Planning Schematics,Eric Greif,21088 HAMLIN DR,Homestead Road LLC,N/A,Van Cleef Engineering,N/A,Michael Ford PE,49999999,https://apps.construction.com/projects/202200557896,368995,Warehouse,N/A,1,3/29/2022,"189 Homestead Rd, HILLSBOROUGH TOWNSHIP, SOMERSET, NJ '088442004'",40.4846519,-74.6311226
Warehouse,N/A,300 Watson Dr,WASHINGTON TOWNSHIP,'08012',GLOUCESTER,Pre-Design,N/A,100 WATSON DR,"300 WATSON DRIVE PARTNERS, LLC",N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202200752596,400000,Warehouse,N/A,1,9/8/2022,"300 Watson Dr, WASHINGTON TOWNSHIP, GLOUCESTER, NJ '08012'",39.7350738,-75.0425144
Warehouse,N/A,Tomlin Rd & Swedesboro Rd,GREENWICH TOWNSHIP,'08027',GLOUCESTER,Planning Schematics,N/A,100 Front St Ste 570,Bluewater Property Group LLC,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300130906,204120,Warehouse,N/A,1,4/7/2023,"Tomlin Rd & Swedesboro Rd, GREENWICH TOWNSHIP, GLOUCESTER, NJ '08027'",39.8025423,-75.2879146
Warehouse,N/A,2678 US-130,EAST WINDSOR,'08512',MIDDLESEX,Planning Schematics,N/A,N/A,N/A,N/A,Menlo Engineering Associates Inc,N/A,"William Lane, PE",12000000,https://apps.construction.com/projects/202200642618,116000,Warehouse,N/A,1,6/14/2022,"2678 US-130, EAST WINDSOR, MIDDLESEX, NJ '08512'",40.3155092,-74.50816329999999
Warehouse & Distribution Facility,N/A,333 North St,TETERBORO,'076081203',BERGEN,Pre-Design,N/A,1555 Peachtree St NE,The Hampshire Companies,N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202300127407,221448,Warehouse Freight Terminal,N/A,1,4/5/2023,"333 North St, TETERBORO, BERGEN, NJ '076081203'",40.8683126,-74.0572691
Multi-Family Residential Complex,"Development consists of 240 rental dwelling units and 2 dwelling units; reserved for employees in fifteen buildings, clubhouse, sports bar,; packaged goods store, eight self-storage buildings, self-storage; office",61 Cornwell Dr,BRIDGETON,'083023603',CUMBERLAND,Planning Schematics,N/A,10 REVERE BLVD,Bristol Ponds Urban Renewal @ Upperdeerfield LLC,N/A,Consulting Engineering Services (CES),N/A,N/A,49999999,https://apps.construction.com/projects/202100833316,N/A,Apartments/Condominiums 1-3 Stories Apartments/Condominiums 4+ Stories Office Food/Beverage Service Retail (Other) Warehouse,N/A,N/A,11/9/2021,"61 Cornwell Dr, BRIDGETON, CUMBERLAND, NJ '083023603'",39.4604401,-75.2154829
Commodore North #3 Warehouse,39 loading docks,2221 US-322,LOGAN TOWNSHIP,'080854307',GLOUCESTER,Planning Schematics,Andrew C. Kolb,1 MEADOWLANDS PLZ STE 100,Prologis,N/A,Tayor Wiseman & Taylor,Arco Design/Build NE,N/A,49999999,https://apps.construction.com/projects/202100754401,218899,Warehouse Paving Sidewalk/Parking Lot Site Development,N/A,1,8/30/2021,"2221 US-322, LOGAN TOWNSHIP, GLOUCESTER, NJ '080854307'",39.7758069,-75.338523
Lamson Warehouse,"warehouse/office building comprising 262,500 S.F. (257,250 S.F. of; warehouse space and 5,250 S.F. of office space), two full movement; driveways on Lamson Lane, a total of 43 truck bays (27 truck bays on; the Northern elevation and 16 truck bays on the Western elevation, 36; trailer parking stalls (12 Ft. X 55 Ft.), 108 automobile parking; spaces, two stormwater management basins and other site related; improvements.",50 Lamson Ln,LOGAN TOWNSHIP,'080854418',GLOUCESTER,Planning Schematics,N/A,16 Lehigh Dr,"ARP American Realty Partners, LLC",N/A,N/A,N/A,N/A,49999999,https://apps.construction.com/projects/202000693197,257250,Warehouse,N/A,1,8/7/2020,"50 Lamson Ln, LOGAN TOWNSHIP, GLOUCESTER, NJ '080854418'",39.8024008,-75.3100032
Commodore North #2 Warehouse,N/A,279 US-322,LOGAN TOWNSHIP,'08085',GLOUCESTER,Planning Schematics,Andrew C. Kolb,1 MEADOWLANDS PLZ STE 100,Prologis,N/A,Tayor Wiseman & Taylor,Arco Design/Build NE,N/A,24999999,https://apps.construction.com/projects/202100754395,172200,Warehouse Paving Sidewalk/Parking Lot Site Development,N/A,1,8/30/2021,"279 US-322, LOGAN TOWNSHIP, GLOUCESTER, NJ '08085'",39.8365771,-75.3801044
Climate -Controlled Self-Storage Facility,Construction of a climate-controlled self-storage facility,62 US-46,MOUNTAIN LAKES,'07046',MORRIS,Planning Schematics,N/A,N/A,N/A,Bohler Engineering,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300088876,77238,Warehouse,N/A,1,3/10/2023,"62 US-46, MOUNTAIN LAKES, MORRIS, NJ '07046'",40.8812848,-74.4536012
Self-Storage Facility,N/A,6679 E Black Horse Pike,EGG HARBOR TOWNSHIP,'08234',ATLANTIC,Planning Schematics,N/A,6512 Reega Ave,Matt Portnoy Auto Recycling,N/A,Engineering Design Associates,N/A,Joseph Maffei,14999999,https://apps.construction.com/projects/202200494167,103250,Warehouse,N/A,1,2/10/2022,"6679 E Black Horse Pike, EGG HARBOR TOWNSHIP, ATLANTIC, NJ '08234'",39.4102592,-74.5689945
Warehouse,N/A,558-600 Getty Ave,CLIFTON,'07011',PASSAIC,Planning Schematics,N/A,469 BLOOMFIELD AVE FL 3,CRP/CHI Clifton Owner LLC,N/A,Stonefield Engineering & Design LLC,N/A,Paul Mutch,24999999,https://apps.construction.com/projects/202300090522,187577,Warehouse,N/A,1,3/13/2023,"558-600 Getty Ave, CLIFTON, PASSAIC, NJ '07011'",40.8891909,-74.150035
Warehouse Distribution & Office Building (Build to Suit),"loading areas, paved parking",597 Rancocas Rd,WESTAMPTON,'08060',BURLINGTON,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202100653228,254134,Office Warehouse Freight Terminal,N/A,1,6/9/2021,"597 Rancocas Rd, WESTAMPTON, BURLINGTON, NJ '08060'",40.010004,-74.85561
Warehouse & Office Building - Parking Lot,"Construct a warehouse and office building with a gross floor area of; approximately 149,840 square feet. The building is proposed to include; 142,340 square feet of warehouse space and 7,500 square feet of office; space, and will have 22 loading docks. Also includes 151 Car parking; spaces and 25 trailer parking spaces.",14 & 22 River Rd,BOGOTA,'07603',BERGEN,Planning Schematics,Yvonne Tawil,25 W 39TH ST,Thor Equities,N/A,Langan Engineering,N/A,John Cote PE,24999999,https://apps.construction.com/projects/202200716686,149840,Office Warehouse Paving,N/A,1,8/8/2022,"14 & 22 River Rd, BOGOTA, BERGEN, NJ '07603'",40.8690369,-74.03276629999999
Warehouse,N/A,261 Paulsboro Rd,SWEDESBORO,'08085',GLOUCESTER,Planning Schematics,Botond Farkas,239 Washington St Ste 301,Arbok Partners,N/A,Ware Malcomb,N/A,Ed Wilkes,24999999,https://apps.construction.com/projects/202100654398,215000,Warehouse,N/A,1,6/10/2021,"261 Paulsboro Rd, SWEDESBORO, GLOUCESTER, NJ '08085'",39.7647169,-75.3047911
Delivery Station Warehouse,N/A,46 US-9,BERKELEY TOWNSHIP,'08721',OCEAN,Planning Schematics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202100686018,102440,Warehouse,N/A,1,7/6/2021,"46 US-9, BERKELEY TOWNSHIP, OCEAN, NJ '08721'",39.9324315,-74.1820243
Warehouse 2,N/A,1690 S WASHINGTON AVE,PISCATAWAY,'088544305',MIDDLESEX,Planning Schematics,N/A,1260 STELTON RD,Edgewood Properties,N/A,Stonefield Engineering & Design LLC,N/A,N/A,24999999,https://apps.construction.com/projects/202000780411,175000,Warehouse,N/A,1,11/11/2020,"1690 S WASHINGTON AVE, PISCATAWAY, MIDDLESEX, NJ '088544305'",40.5481112,-74.44319650000001
Warehouse 1,N/A,1690 S WASHINGTON AVE,PISCATAWAY,'088544305',MIDDLESEX,Planning Schematics,N/A,1260 STELTON RD,Edgewood Properties,N/A,Stonefield Engineering & Design LLC,N/A,N/A,24999999,https://apps.construction.com/projects/201600540743,185000,Warehouse,N/A,1,5/24/2016,"1690 S WASHINGTON AVE, PISCATAWAY, MIDDLESEX, NJ '088544305'",40.5481112,-74.44319650000001
Warehouse,7074 SF of office space,2700 US-130,NORTH BRUNSWICK TOWNSHIP,'089024711',MIDDLESEX,Planning Schematics,N/A,N/A,N/A,Stonefield Engineering & Design LLC,Edgewood Properties,N/A,Ron Aulenbach,24999999,https://apps.construction.com/projects/202200567473,235833,Warehouse,N/A,1,4/5/2022,"2700 US-130, NORTH BRUNSWICK TOWNSHIP, MIDDLESEX, NJ '089024711'",40.4213877,-74.49717439999999
Warehouse,N/A,112 W Park Dr,MOUNT LAUREL TOWNSHIP,'08054',BURLINGTON,Pre-Design,N/A,650 E SWEDESFORD RD STE 400,Prologis,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300107266,191216,Warehouse,N/A,1,3/22/2023,"112 W Park Dr, MOUNT LAUREL TOWNSHIP, BURLINGTON, NJ '08054'",39.9340184,-74.9527124
High-End Warehouse and Distribution Facility,Construction of a hign-end warehouse and distribution facility,195 & 215 Davidson Ave,FRANKLIN TOWNSHIP,'08873',SOMERSET,Planning Schematics,Justin Burns,1 TOWER CENTER BLVD STE 1205,IDI Logistics,N/A,Bohler Engineering,N/A,N/A,49999999,https://apps.construction.com/projects/202200799263,201610,Warehouse Freight Terminal,N/A,1,10/19/2022,"195 & 215 Davidson Ave, FRANKLIN TOWNSHIP, SOMERSET, NJ '08873'",40.5384762,-74.52453799999999
Warehouse,N/A,149-151 Maywood Ave,MAYWOOD,'07607',BERGEN,Planning Schematics,N/A,3 2ND ST STE 502,Duke Realty LLC,N/A,Bohler Engineering,Atlantic Traffic & Design Engineers,Alexander Lomei,49999999,https://apps.construction.com/projects/202200808665,379479,Warehouse,N/A,N/A,10/27/2022,"149-151 Maywood Ave, MAYWOOD, BERGEN, NJ '07607'",40.89424690000001,-74.0697387
Warehouse,N/A,2455 Old York Rd,BORDENTOWN,'08505',BURLINGTON,Pre-Design,N/A,2 Cooper St,NFI Real Estate,N/A,N/A,N/A,N/A,24999999,https://apps.construction.com/projects/202300088651,206250,Warehouse,N/A,1,3/10/2023,"2455 Old York Rd, BORDENTOWN, BURLINGTON, NJ '08505'",40.115122,-74.721788
Warehouse,"approximately 35 dock spaces, approximately 72 accessory parking; spaces, accessory office space within the proposed building,; stormwater management improvements, internal driveways, lighting,; landscaping, utility installations, identification and directional; signage and related site improvements.",422 Swedesboro Ave,EAST GREENWICH TOWNSHIP,'08056',GLOUCESTER,Pre-Design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14999999,https://apps.construction.com/projects/202300086483,132225,Warehouse,N/A,1,3/9/2023,"422 Swedesboro Ave, EAST GREENWICH TOWNSHIP, GLOUCESTER, NJ '08056'",39.8117099,-75.2603057
