TITLE,ADDITIONAL FEATURES,STREET,CITY,ZIP_CODE,COUNTY,ACTION STAGE(S),Owner: Contact Name,Owner: Company Address Line 1,OWNER NAME,Engineer: Company Name,Civil Eng: Company Name,Consultant: Company Name,Civil Eng: Contact Name,HIGH VALUE(S),URL LINK TO PROJECT,SQUARE AREA,PROJECT TYPE(S),SITE NAME,NUMBER OF BLDGS,FIRST PUBLISH DATE,FULL_ADDRESS,LATITUDE,LONGITUDE
Warehouse,"220,495 square feet of warehouse space, 4,400 square feet of office; space, 2,675 square feet of office space for contractors, 2,675 square; feet of office space for wholesale trade and 2,675 square feet for; manufacturing goods.",51 NJ-33,MANALAPAN TOWNSHIP,'077268354',MONMOUTH,Planning Schematics,John Kainer,16 LEHIGH DR,"ARP American Realty Partners, LLC",N/A,Colliers Engineering and Design,N/A,N/A,49999999,https://apps.construction.com/projects/202200518193,220495,Warehouse,N/A,1,3/1/2022,"51 NJ-33, MANALAPAN TOWNSHIP, MONMOUTH, NJ '077268354'",40.2543864,-74.327164
Manalapan Logistics Center Warehouse 2 (Bldg B),13000 SF of office space,203 NJ-33,MANALAPAN TOWNSHIP,'077268304',MONMOUTH,Planning Schematics,Terry Sherman,76 STILLWELL RD,Countryside Developers,N/A,Colliers Engineering and Design,N/A,Julia Algeo,49999999,https://apps.construction.com/projects/201900746410,302250,Office Warehouse,N/A,1,7/12/2019,"203 NJ-33, MANALAPAN TOWNSHIP, MONMOUTH, NJ '077268304'",40.2528412,-74.3542382
Manalapan Logistics Center Warehouse 1 (Bldg A),13000 SF of office space,203 NJ-33,MANALAPAN TOWNSHIP,'077268304',MONMOUTH,Planning Schematics,Terry Sherman,76 STILLWELL RD,Countryside Developers,N/A,Colliers Engineering and Design,N/A,Julia Algeo,49999999,https://apps.construction.com/projects/201900746378,294560,Office Warehouse,N/A,1,7/12/2019,"203 NJ-33, MANALAPAN TOWNSHIP, MONMOUTH, NJ '077268304'",40.2528412,-74.3542382
Howell 2 - Warehouse A,"remove the existing 1-story dwelling and develop the property by; constructing two (2) 1-story warehouse buildings with office space.; Warehouse A totals 369,242 s.f. in size, consisting of 349,242 s.f. of; warehouse and 20,000 s.f. of office space. Warehouse A will also have; 54 loading bays, 2 drive-in bays, 209 vehicle parking spaces (9 of; which are electric vehicle charging stations) and 35 tractor trailer; parking spaces.",375 Fairfield Rd,HOWELL TOWNSHIP,'07728',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Bohler Engineering,N/A,Tungto Lam,49999999,https://apps.construction.com/projects/202200676394,369242,Office Warehouse,N/A,1,7/5/2022,"375 Fairfield Rd, HOWELL TOWNSHIP, MONMOUTH, NJ '07728'",40.2262718,-74.2204047
Howell 2 - Warehouse B,"Warehouse B totals 134,714 s.f. in size, consisting of 124,714 s.f. of; warehouse space and 10,000 s.f. of office space. Warehouse B will also; have 36 loading bays, 2 drive-in bays, 77 vehicle parking space (2 of; which are electric vehicle charging stations) and does not provide; additional tractor trailing parking. Additional site improvements; consist of lighting, landscaping, and stormwater management systems",375 Fairfield Rd,HOWELL TOWNSHIP,'07728',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Bohler Engineering,N/A,Tungto Lam,14999999,https://apps.construction.com/projects/202200676400,124714,Office Warehouse,N/A,1,7/5/2022,"375 Fairfield Rd, HOWELL TOWNSHIP, MONMOUTH, NJ '07728'",40.2262718,-74.2204047
Warehouse 9,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,60000000,https://apps.construction.com/projects/202200533428,598723,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 8,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,46000000,https://apps.construction.com/projects/202200533424,457071,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 7,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,24999999,https://apps.construction.com/projects/202200533420,211962,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 6,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,24999999,https://apps.construction.com/projects/202200533413,211962,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 5,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202200533411,139746,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 4,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202200533403,139746,Warehouse,N/A,1,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
Warehouse 3,N/A,1875 NJ-34,WALL TOWNSHIP,'07719',MONMOUTH,Planning Schematics,Seth Gerszberg,5 TENAFLY RD STE 416,Active Acquisitions,N/A,Colliers Engineering,N/A,Patrick Lynam,14999999,https://apps.construction.com/projects/202200533398,N/A,Warehouse,N/A,N/A,3/11/2022,"1875 NJ-34, WALL TOWNSHIP, MONMOUTH, NJ '07719'",40.1785411,-74.12134069999999
